country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,average_expenditure_per_capita,rating_by_capita
Africa Eastern and Southern,43.1795228372368,38.2403733317884,35.3893938242988,50.8460540792795,62.5592083924407,69.4852863304066,76.0411240434661,85.1519403196774,87.5461437976285,91.1372255372862,105.4266179681,113.689713895816,110.501013666199,108.335144725309,101.823439306303,93.7748478025413,88.7445659145673,92.9328629491339,92.9642508697595,89.9445460259529,81.4924179824656,92.2863864495709,82.34054909314672,Low
Afghanistan,,,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318,49.495438956,Low
Africa Western and Central,19.9319910597885,20.5949832545489,21.7711990471626,33.4668752552486,37.9164998694285,43.3928347433656,49.903259542111,53.8988787697373,62.0963513519559,56.6508803253798,60.1874674138688,67.1748464422327,69.6096181921816,77.1422499994464,80.0270550179751,71.6926286025817,62.5061628544771,60.6495252439816,59.4437737904965,61.8668835109289,64.6460439896129,72.9596388302349,54.88771123212477,Low
Angola,13.00008678,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.63153076,120.0315094,96.66415405,121.91368866,121.79575348,142.88616943,130.74234009,107.64356232,94.1061554,112.85147095,83.89920044,64.65779114,55.05102158,64.16342163,82.93120761363636,Low
Albania,65.1501236,73.78884125,78.99478149,106.29218292,138.11340332,152.12762451,166.81382751,212.61096191,240.41625977,239.44386292,255.31819153,274.77688599,262.2885437,278.04251099,295.12359619,255.35635376,277.04321289,297.4619751,351.3012085,367.75839233,396.88024902,464.74285889,238.62935673136363,Low
Andorra,1287.00280762,1336.21142578,1486.171875,1772.71337891,1990.0748291,2214.64697266,2139.27539063,2489.43115234,3046.36206055,3025.30883789,3698.80834961,3913.98706055,3013.51464844,3041.84155273,3089.84301758,2688.20629883,2755.44848633,2873.29614258,3164.38842773,3026.59741211,3269.29736328,3505.99145508,2674.019042969546,Very High
Arab World,111.485164198577,114.499090398788,113.652583099572,109.944319312587,120.567474518509,134.290721725484,154.016879905897,180.181544955862,211.521649095595,227.197512819912,236.991096387782,269.758125992248,293.36181496949,328.038471486147,355.165785807863,337.753756107532,360.470501390027,352.245384276453,367.976209156136,374.958958201344,380.651568760676,401.863401164089,251.66327335138956,Low
United Arab Emirates,753.07550049,743.05072021,821.34509277,862.90325928,911.39276123,978.90435791,1054.33288574,1126.81237793,1321.93688965,1284.76318359,1325.20324707,1500.80249023,1480.72741699,1601.55285645,1656.2689209,1439.30053711,1599.4029541,1726.24072266,1914.9317627,1990.28479004,2191.81347656,2351.80541992,1392.5841647059094,High
Argentina,704.94592285,671.36853027,222.64750671,260.9826355,310.21994019,390.80447388,453.63934326,569.28839111,742.90466309,781.77801514,980.1362915,1202.56396484,1361.99157715,1415.21008301,1280.61486816,1525.05310059,1258.3079834,1494.83605957,1216.10681152,1016.23083496,895.08465576,1044.77270508,899.9767435245453,Moderate
Armenia,25.0,31.0,58.0,65.0,71.0,94.0,123.0,168.0,260.0,246.0,290.0,325.0,333.0,396.0,409.0,371.0,366.0,419.0,439.0,549.0,552.0,613.0,281.95454545454544,Low
